id,style,classification,content_phrase,training_caption
DS-0096,ukiyo-e,visual,couple in an evening shower from the series three evening,xkyo ukiyo-e woodblock print style skateboard decal artwork
DS-0097,ukiyo-e,truncated,perspective print uki e of the theaters in sakaichō and,xkyo ukiyo-e woodblock print style skateboard decal artwork
DS-0098,ukiyo-e,visual,fair travellers fording the river oi,xkyo ukiyo-e woodblock print style skateboard decal artwork
DS-0099,ukiyo-e,visual,picking clams,xkyo ukiyo-e woodblock print style skateboard decal artwork
DS-0100,ukiyo-e,attribution,mother and son by a mosquito net,xkyo ukiyo-e woodblock print style skateboard decal artwork
DS-0101,ukiyo-e,visual,dekishima hanya seated on a cherry tree,xkyo ukiyo-e woodblock print style skateboard decal artwork
DS-0102,ukiyo-e,visual,kabuki actors nakamura gentaro and ikushima shingoro,xkyo ukiyo-e woodblock print style skateboard decal artwork
DS-0104,ukiyo-e,visual,amorous couple,xkyo ukiyo-e woodblock print style skateboard decal artwork
DS-0105,ukiyo-e,visual,the gossips,xkyo ukiyo-e woodblock print style skateboard decal artwork
DS-0107,ukiyo-e,visual,foreigners enjoying themselves in the gankirō,xkyo ukiyo-e woodblock print style skateboard decal artwork
DS-0108,ukiyo-e,visual,woman admiring plum blossoms at night,xkyo ukiyo-e woodblock print style skateboard decal artwork
DS-0109,ukiyo-e,visual,view of saruhashi monkey bridge,xkyo ukiyo-e woodblock print style skateboard decal artwork
DS-0110,ukiyo-e,visual,lovers walking in the snow crow and heron,xkyo ukiyo-e woodblock print style skateboard decal artwork
DS-0112,ukiyo-e,visual,geisha and attendant on a rainy night,xkyo ukiyo-e woodblock print style skateboard decal artwork
DS-0113,ukiyo-e,visual,six jewel rivers from various provinces,xkyo ukiyo-e woodblock print style skateboard decal artwork
DS-0114,ukiyo-e,visual,two court ladies admire the cherry trees,xkyo ukiyo-e woodblock print style skateboard decal artwork
DS-0116,ukiyo-e,visual,kiyomizu komachi from the series futabagusa nana komachi,xkyo ukiyo-e woodblock print style skateboard decal artwork
DS-0117,ukiyo-e,visual,the top of mount fuji,xkyo ukiyo-e woodblock print style skateboard decal artwork
DS-0118,ukiyo-e,attribution,rejected geisha from passions cooled by springtime snow,xkyo ukiyo-e woodblock print style skateboard decal artwork
DS-0119,ukiyo-e,attribution,rejected geisha from passions cooled by springtime snow,xkyo ukiyo-e woodblock print style skateboard decal artwork
DS-0121,ukiyo-e,attribution,rejected geisha from passions cooled by springtime snow,xkyo ukiyo-e woodblock print style skateboard decal artwork
DS-0122,ukiyo-e,attribution,rejected geisha from passions cooled by springtime snow,xkyo ukiyo-e woodblock print style skateboard decal artwork
DS-0123,ukiyo-e,truncated,under the mannen bridge at fukagawa fukagawa mannenbashi shita from,xkyo ukiyo-e woodblock print style skateboard decal artwork
DS-0124,ukiyo-e,visual,sudden shower over shin ōhashi bridge and atake ōhashi atake,xkyo ukiyo-e woodblock print style skateboard decal artwork
DS-0125,ukiyo-e,visual,street scene in yoshiwara,xkyo ukiyo-e woodblock print style skateboard decal artwork
DS-0126,ukiyo-e,visual,two figures,xkyo ukiyo-e woodblock print style skateboard decal artwork
DS-0127,ukiyo-e,visual,geisha walking through the snow at night,xkyo ukiyo-e woodblock print style skateboard decal artwork
DS-0129,ukiyo-e,visual,the courtesan takigawa of the ōgiya brothel from the series,xkyo ukiyo-e woodblock print style skateboard decal artwork
DS-0131,ukiyo-e,visual,onoe kikugorō in the role of yaoya oshichi and nakamura,xkyo ukiyo-e woodblock print style skateboard decal artwork
DS-0132,ukiyo-e,truncated,woman digging bamboo shoots in the snow or parody of,xkyo ukiyo-e woodblock print style skateboard decal artwork
DS-0133,ukiyo-e,visual,portrait of a woman in large circle with landscape below,xkyo ukiyo-e woodblock print style skateboard decal artwork
DS-0134,ukiyo-e,visual,monk nichiren in exile on sado island from the series,xkyo ukiyo-e woodblock print style skateboard decal artwork
DS-0135,ukiyo-e,visual,picture book thousand year mountain ehon chitoseyama 絵本千年山,xkyo ukiyo-e woodblock print style skateboard decal artwork
DS-0136,ukiyo-e,truncated,woman with a folding fan and hand mirror from the,xkyo ukiyo-e woodblock print style skateboard decal artwork
DS-0137,ukiyo-e,visual,nakamura utaemon iv as danshichi kurobei,xkyo ukiyo-e woodblock print style skateboard decal artwork
DS-0139,ukiyo-e,truncated,a molted cicada shell utsusemi soga gorō tokimune from the,xkyo ukiyo-e woodblock print style skateboard decal artwork
DS-0140,ukiyo-e,visual,lady of the evening faces yūgao yazama s wife orie,xkyo ukiyo-e woodblock print style skateboard decal artwork
DS-0141,ukiyo-e,truncated,a boat cast adrift ukifune omatsu and akabori mizuemon from,xkyo ukiyo-e woodblock print style skateboard decal artwork
DS-0142,ukiyo-e,visual,exile to suma suma tamaori hime from the series scenes,xkyo ukiyo-e woodblock print style skateboard decal artwork
DS-0143,ukiyo-e,visual,a lovely garland tamakazura tamatori ama from the series scenes,xkyo ukiyo-e woodblock print style skateboard decal artwork
DS-0144,ukiyo-e,visual,courtesan with a young man wakashu beside a screen,xkyo ukiyo-e woodblock print style skateboard decal artwork
DS-0145,ukiyo-e,visual,mother and her children in front of a freestanding screen,xkyo ukiyo-e woodblock print style skateboard decal artwork
DS-0146,ukiyo-e,visual,woman applying makeup,xkyo ukiyo-e woodblock print style skateboard decal artwork
DS-0053,retro-poster,venue-or-archive,carmen municipal auditorium long beach,xpst retro silkscreen poster style skateboard decal artwork
DS-0054,retro-poster,attribution,alien corn by sidney howard,xpst retro silkscreen poster style skateboard decal artwork
DS-0055,retro-poster,attribution,the alarm clock by avery hopwood,xpst retro silkscreen poster style skateboard decal artwork
DS-0056,retro-poster,attribution,brothers by herbert ashton jr,xpst retro silkscreen poster style skateboard decal artwork
DS-0057,retro-poster,visual,chalk dust modern youthful comedy drama,xpst retro silkscreen poster style skateboard decal artwork
DS-0058,retro-poster,attribution,the devil passes by benn w levy,xpst retro silkscreen poster style skateboard decal artwork
DS-0059,retro-poster,attribution,the amazing dr clitterhouse by barre lyndon,xpst retro silkscreen poster style skateboard decal artwork
DS-0060,retro-poster,visual,charles c stewart s habit,xpst retro silkscreen poster style skateboard decal artwork
DS-0061,retro-poster,venue-or-archive,the federal theatre project presents day is darkness in 3,xpst retro silkscreen poster style skateboard decal artwork
DS-0062,retro-poster,venue-or-archive,the federal theatre project presents day is darkness in 3,xpst retro silkscreen poster style skateboard decal artwork
DS-0063,retro-poster,attribution,counsellor at law gripping drama by elmer rice,xpst retro silkscreen poster style skateboard decal artwork
DS-0064,retro-poster,visual,charles dicken s immortal play the cricket on the hearth,xpst retro silkscreen poster style skateboard decal artwork
DS-0065,retro-poster,attribution,the amazing dr clitterhouse by barre lyndon,xpst retro silkscreen poster style skateboard decal artwork
DS-0066,retro-poster,visual,carmen,xpst retro silkscreen poster style skateboard decal artwork
DS-0067,retro-poster,attribution,alison s house by susan glaspell a poetic romance,xpst retro silkscreen poster style skateboard decal artwork
DS-0068,retro-poster,attribution,alien corn by sidney howard,xpst retro silkscreen poster style skateboard decal artwork
DS-0069,retro-poster,attribution,the amazing dr clitterhouse by barre lyndon,xpst retro silkscreen poster style skateboard decal artwork
DS-0070,retro-poster,visual,the devil passes,xpst retro silkscreen poster style skateboard decal artwork
DS-0071,retro-poster,visual,university of california at los angeles presents festival of american,xpst retro silkscreen poster style skateboard decal artwork
DS-0072,retro-poster,visual,special performance festival of american dance featuring an american exodus,xpst retro silkscreen poster style skateboard decal artwork
DS-0073,retro-poster,attribution,blind alley by james warwick,xpst retro silkscreen poster style skateboard decal artwork
DS-0074,retro-poster,attribution,mary stuart directed by jerome coray,xpst retro silkscreen poster style skateboard decal artwork
DS-0075,retro-poster,visual,george bernard shaw s 3 act comedy captain brassbound s,xpst retro silkscreen poster style skateboard decal artwork
DS-0076,retro-poster,visual,the cat and the canary,xpst retro silkscreen poster style skateboard decal artwork
DS-0080,retro-poster,venue-or-archive,los angeles federal music project presents the chocolate soldier,xpst retro silkscreen poster style skateboard decal artwork
DS-0081,retro-poster,venue-or-archive,federal government sponsored classes in war training for industry,xpst retro silkscreen poster style skateboard decal artwork
DS-0082,retro-poster,attribution,counsellor at law by elmer rice,xpst retro silkscreen poster style skateboard decal artwork
DS-0084,retro-poster,venue-or-archive,cradle snatchers cradle snatching at pickering park playhouse,xpst retro silkscreen poster style skateboard decal artwork
DS-0085,retro-poster,visual,the devil passes direct from sensational los angeles run,xpst retro silkscreen poster style skateboard decal artwork
DS-0086,retro-poster,attribution,dracula by hamilton deane and john l dalderston i e,xpst retro silkscreen poster style skateboard decal artwork
DS-0087,retro-poster,visual,charles dickens the cricket on the hearth,xpst retro silkscreen poster style skateboard decal artwork
DS-0089,retro-poster,visual,the chocolate soldier,xpst retro silkscreen poster style skateboard decal artwork
DS-0090,retro-poster,attribution,alien corn by sidney howard,xpst retro silkscreen poster style skateboard decal artwork
DS-0091,retro-poster,visual,the chocolate soldier,xpst retro silkscreen poster style skateboard decal artwork
DS-0092,retro-poster,visual,the chocolate soldier,xpst retro silkscreen poster style skateboard decal artwork
DS-0093,retro-poster,attribution,the amazing dr clitterhouse by barre lyndon,xpst retro silkscreen poster style skateboard decal artwork
